vÃ­rus,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,89.0,46.0,18922.0,12610.0,2.3222901392064208e-06,3.5950838322749587e-06
2020-01-02,114.0,80.0,19343.5,10157.0,2.341528676855753e-06,5.062514139443789e-06
2020-01-03,95.0,57.0,23375.0,13355.5,1.7364192049353196e-06,3.500463903584696e-06
2020-01-04,102.0,56.0,20898.0,12822.5,2.17565119959968e-06,3.7426137679399017e-06
2020-01-05,127.0,87.0,18457.5,9666.5,2.6680164448970783e-06,5.5270562745811065e-06
2020-01-06,155.0,71.0,16340.0,11749.0,3.1185058373399437e-06,4.228837778983427e-06
2020-01-07,118.0,79.0,20063.5,11124.0,2.3463430166180538e-06,4.67360434638105e-06
2020-01-08,121.0,77.0,19742.5,11129.5,2.430692226192264e-06,4.679953195605755e-06
2020-01-09,123.0,78.0,19884.0,11338.0,2.4255926289750214e-06,4.605611453376274e-06
2020-01-10,117.0,86.0,19067.0,9961.5,2.582658196313015e-06,5.4557159536045925e-06
2020-01-11,116.0,65.0,18111.0,11241.5,2.7455222957356857e-06,4.67160352144036e-06
2020-01-12,89.0,51.0,22206.5,13961.5,2.0255690079384325e-06,3.511845005615853e-06
2020-01-13,100.0,57.0,22578.5,14061.5,1.983341163894805e-06,3.420412433331211e-06
2020-01-14,244.0,99.0,11897.0,9259.0,5.057593134541182e-06,6.011903203986122e-06
2020-01-15,295.0,79.0,10253.5,10835.5,6.153433079579658e-06,4.833081574647342e-06
2020-01-16,209.0,90.0,12942.5,9969.5,4.39010221418271e-06,5.420819415881411e-06
2020-01-17,112.0,74.0,20325.5,11395.0,2.342430013890401e-06,4.563081268724049e-06
2020-01-18,130.0,76.0,16390.0,9912.5,3.234539064996271e-06,5.579689753097995e-06
2020-01-19,143.0,72.0,15187.0,10379.0,3.5460805605525116e-06,5.200823290326859e-06
2020-01-20,912.0,243.0,4412.0,4627.0,1.877631579407891e-05,1.5078320706946136e-05
2020-01-21,1414.0,333.0,3151.5,3895.0,2.7746230775605065e-05,1.9281084219949574e-05
2020-01-22,2872.0,792.0,1581.0,1902.0,5.854862882556527e-05,4.689333991418993e-05
2020-01-23,2273.0,795.0,1981.0,1910.0,4.623258909780632e-05,4.653834338015188e-05
2020-01-24,1400.0,559.0,3056.5,2420.5,2.9567136280084253e-05,3.500087345650218e-05
2020-01-25,1783.0,667.0,2236.5,1878.5,4.0767837409358725e-05,4.7324656294927816e-05
2020-01-26,2129.0,695.0,2126.0,2024.5,4.308091471972061e-05,4.448902023783126e-05
2020-01-27,2173.0,705.0,2120.0,2048.0,4.295300930898254e-05,4.2958946419956786e-05
2020-01-28,8992.0,2493.0,546.0,744.0,0.000173499699838959,0.00014271104619561717
2020-01-29,14484.0,2710.0,350.0,682.0,0.0002791916895559582,0.00015504881863670782
2020-01-30,6923.0,1836.0,718.5,981.0,0.0001291079013270998,0.00010473940681555748
2020-01-31,3990.0,1383.0,1135.0,1133.5,8.458132118821874e-05,8.680216675279935e-05
2020-02-01,2825.0,872.0,1515.0,1551.0,6.236598763462388e-05,5.95182272523315e-05
2020-02-02,1811.0,751.0,2392.5,1917.5,3.738475416696023e-05,4.621351047979039e-05
2020-02-03,2777.0,711.0,1827.5,2126.0,5.047713617486225e-05,4.0742881986437264e-05
2020-02-04,1829.0,627.0,2770.0,2406.5,3.231544853179999e-05,3.488166963809906e-05
2020-02-05,1531.0,588.0,3049.5,2499.5,2.8044399027945595e-05,3.3614110243076895e-05
2020-02-06,2055.0,601.0,2155.0,2355.0,4.156820850467746e-05,3.612709596516843e-05
2020-02-07,1128.0,517.0,3382.5,2342.0,2.5688504294124992e-05,3.569630193906869e-05
2020-02-08,2234.0,456.0,1779.0,2551.5,5.194508534851897e-05,3.223436760412125e-05
2020-02-09,2785.0,419.0,1761.5,3301.0,5.194447279474917e-05,2.384692708725209e-05
2020-02-10,3634.0,634.0,1326.0,2235.0,7.312670177043487e-05,3.778522555961916e-05
2020-02-11,2041.0,429.0,2212.5,3014.5,4.073215052702933e-05,2.6219315837206283e-05
2020-02-12,769.0,371.0,5500.5,3569.5,1.4468182716478257e-05,2.1773044126272392e-05
2020-02-13,857.0,351.0,4570.0,3547.5,1.7610506596737547e-05,2.1558378399659533e-05
2020-02-14,714.0,297.0,5163.0,3810.5,1.5427314908034514e-05,1.9327787364664004e-05
2020-02-15,940.0,261.0,4001.0,3963.0,2.1163576593111304e-05,1.832008087227731e-05
2020-02-16,502.0,244.0,7098.5,4541.0,1.0324775479324616e-05,1.5389968881356775e-05
2020-02-17,428.0,252.0,7995.0,4535.5,8.619496245222574e-06,1.5422583374516323e-05
2020-02-18,440.0,282.0,8059.5,4338.0,8.384954160217875e-06,1.6396829318368105e-05
2020-02-19,780.0,291.0,5294.0,4272.0,1.4927247752143079e-05,1.6980229061539498e-05
2020-02-20,1456.0,275.0,3140.5,4361.5,2.851142366193597e-05,1.64085198763263e-05
2020-02-21,502.0,290.0,7045.0,3883.5,1.0477147015264306e-05,1.912985165195834e-05
2020-02-22,396.0,219.0,7297.0,4242.0,9.78828217551097e-06,1.709040198342309e-05
2020-02-23,630.0,266.0,5051.0,3748.5,1.55341793740569e-05,1.977276337525233e-05
2020-02-24,797.0,391.0,4637.5,3066.5,1.740394425785247e-05,2.6198290370593915e-05
2020-02-25,5388.0,1822.0,908.0,919.5,0.00010765841567214008,0.00011032933913270844
2020-02-26,17414.0,4697.0,357.0,477.0,0.00028846643793876666,0.00023652174753768375
2020-02-27,21434.0,4273.0,258.0,493.0,0.00036606219836352727,0.00022318480061887948
2020-02-28,20096.0,3540.0,272.0,553.0,0.00035973708546369314,0.0001937185289474583
2020-02-29,7897.0,2157.0,657.0,809.0,0.0001507411743304406,0.00012730229325313782
2020-03-01,7970.0,1521.0,731.0,1240.5,0.0001336970923113503,7.745551553036556e-05
2020-03-02,9457.0,1756.0,583.0,1052.0,0.0001676622748145131,9.374251120919672e-05
2020-03-03,9120.0,1417.0,615.0,1274.0,0.00016388443193316192,7.599342498665958e-05
2020-03-04,5545.0,1146.0,966.0,1430.5,0.00010446294132413609,6.568027427073833e-05
2020-03-05,4615.0,1462.0,1126.0,1183.0,8.451627271553385e-05,8.257485803422021e-05
2020-03-06,5010.0,1300.0,979.0,1225.0,9.832122879948504e-05,7.844131081464318e-05
2020-03-07,2941.0,1030.0,1585.5,1397.5,6.0020049267868666e-05,6.752417562159611e-05
2020-03-08,3393.0,975.0,1586.0,1608.5,6.0199607206877685e-05,5.6663690709002834e-05
2020-03-09,6361.0,1813.0,819.0,970.0,0.0001184465458987348,0.00010469026838415679
2020-03-10,8554.0,2432.0,622.0,739.0,0.0001592637479347519,0.00014119257331708846
2020-03-11,22637.0,5876.0,226.0,320.0,0.00043717236213205535,0.0003501352155941501
2020-03-12,75776.0,16322.0,81.0,134.0,0.0013088586303997307,0.0008965533833767072
2020-03-13,91139.0,16697.0,60.0,127.0,0.0016425468788815822,0.000960875334007333
2020-03-14,57006.0,9222.0,99.0,207.0,0.0010889869655102931,0.000571197345957732
2020-03-15,58388.0,12970.0,121.0,190.0,0.0009088704230934405,0.0006362156617067188
2020-03-16,74226.0,20837.0,95.0,121.0,0.0011278482533098615,0.0009967487631049596
2020-03-17,89524.0,19271.0,81.0,140.0,0.0012889256659734823,0.0008564975299973028
2020-03-18,69469.0,17856.0,105.0,151.0,0.0010169005835164056,0.000760042890323589
2020-03-19,,,,,,
2020-03-20,,,,,,
