вірус,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,6.0,0.0,6734.5,48574.5,1.4738683147789689e-05,0.0
2020-01-02,,,,,,
2020-01-03,1.0,1.0,42600.0,25623.5,2.5879783230935657e-06,8.160867010511198e-06
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,2.0,1.0,18614.0,25802.5,4.6014457742622735e-06,7.79483981604178e-06
2020-01-08,1.0,1.0,44433.0,26073.5,1.7538105919636891e-06,7.681317499577527e-06
2020-01-09,1.0,1.0,45659.5,27635.5,1.7291494832436767e-06,7.130023101274847e-06
2020-01-10,3.0,2.0,14089.5,7125.5,6.237382295398268e-06,1.5037593984962406e-05
2020-01-11,2.0,1.0,19116.5,27040.5,4.4031623512006316e-06,7.361330928631897e-06
2020-01-12,11.0,0.0,4002.0,51871.5,2.8784132092998914e-05,0.0
2020-01-13,1.0,1.0,44423.5,26623.5,2.448106267396855e-06,7.816408204102049e-06
2020-01-14,1.0,1.0,44309.0,26062.5,2.437924351207382e-06,7.94180247148893e-06
2020-01-15,,,,,,
2020-01-16,2.0,2.0,19402.5,6967.0,4.458016628402024e-06,1.5250760631686505e-05
2020-01-17,,,,,,
2020-01-18,1.0,0.0,41004.5,50825.0,2.4991315517857545e-06,0.0
2020-01-19,2.0,0.0,17991.5,52540.5,4.898263075913281e-06,0.0
2020-01-20,13.0,5.0,3622.5,2103.5,2.9484542161761267e-05,3.8707779489521806e-05
2020-01-21,24.0,8.0,1786.5,1207.0,5.8314563333260435e-05,6.246827782766564e-05
2020-01-22,22.0,12.0,2392.0,844.0,4.714575323912755e-05,9.025610168854124e-05
2020-01-23,84.0,19.0,415.5,527.5,0.00019319538263035514,0.00013898642322097374
2020-01-24,76.0,27.0,557.0,375.0,0.00016477643523527257,0.00019795737317897545
2020-01-25,41.0,15.0,898.5,596.0,0.00010579771476936097,0.00012619570429822568
2020-01-26,48.0,11.0,765.0,780.5,0.00011876954748802407,9.586641450894608e-05
2020-01-27,47.0,15.0,883.0,609.0,0.00011377583256070668,0.00012219162905879858
2020-01-28,29.0,11.0,1522.5,802.0,6.275955947117498e-05,8.981058131939908e-05
2020-01-29,26.0,11.0,1790.5,893.5,5.6663274134740904e-05,8.472944348160987e-05
2020-01-30,25.0,4.0,1916.0,2848.0,5.616261097731929e-05,2.9355212751904418e-05
2020-01-31,15.0,5.0,3091.0,2143.5,3.5126913538615024e-05,3.7411148522259634e-05
2020-02-01,15.0,10.0,3011.0,894.5,3.597665834406637e-05,8.194571915563133e-05
2020-02-02,21.0,10.0,2121.5,897.0,4.859187682653394e-05,8.360714673890323e-05
2020-02-03,27.0,6.0,1651.0,1672.5,6.359135722798208e-05,4.7434204805084947e-05
2020-02-04,4.0,3.0,10478.0,3793.5,9.56013804839342e-06,2.4019407681406573e-05
2020-02-05,2.0,0.0,19295.0,55312.0,4.6187669739686305e-06,0.0
2020-02-06,15.0,12.0,3012.5,780.5,3.7223707034536156e-05,9.408075264602116e-05
2020-02-07,22.0,5.0,1799.5,1961.0,5.853414536156808e-05,4.115124729430549e-05
2020-02-08,3.0,1.0,12311.0,25197.5,8.131888387121257e-06,8.228962656967463e-06
2020-02-09,4.0,1.0,9311.0,25117.5,1.0776849172607407e-05,8.365470683207991e-06
2020-02-10,14.0,2.0,3328.5,6361.5,2.5485266785233835e-05,1.5765534964015163e-05
2020-02-11,4.0,4.0,10369.0,2665.0,9.276889644440013e-06,3.1682415467355234e-05
2020-02-12,3.0,2.0,13018.0,6311.5,7.358135154226512e-06,1.6107987951225013e-05
2020-02-13,11.0,6.0,4166.0,1535.5,2.6594522978876693e-05,4.930520745166035e-05
2020-02-14,10.0,6.0,4646.0,1708.5,2.350435888335492e-05,4.65109068076464e-05
2020-02-15,5.0,4.0,8988.5,2695.5,1.1521958548601926e-05,3.1726391598851505e-05
2020-02-16,4.0,3.0,10357.5,3361.0,9.375036621236802e-06,2.582733565205413e-05
2020-02-17,7.0,5.0,6334.0,2051.5,1.695843245940878e-05,3.907654313268831e-05
2020-02-18,7.0,1.0,8376.0,27140.0,1.0756190956194643e-05,7.358784917434433e-06
2020-02-19,34.0,13.0,1545.0,735.0,6.341473422698371e-05,9.94804061861508e-05
2020-02-20,179.0,47.0,317.0,272.0,0.0002799867358239118,0.00029775102945834653
2020-02-21,216.0,49.0,208.0,215.0,0.0004236797765481475,0.00035496185971038013
2020-02-22,114.0,15.0,311.0,624.5,0.00027237149560621767,0.0001202616894362132
2020-02-23,60.0,16.0,577.5,554.0,0.00015233181932430682,0.0001331890452010322
2020-02-24,65.0,18.0,553.5,522.5,0.00015445520086304813,0.00013986231332266234
2020-02-25,32.0,11.0,1339.5,867.0,7.136724020651895e-05,8.442121581900092e-05
2020-02-26,21.0,10.0,2444.0,982.0,4.474730557295729e-05,7.683796410130317e-05
2020-02-27,46.0,13.0,997.5,736.5,0.00010070758021577694,9.872717883289286e-05
2020-02-28,37.0,8.0,1371.0,1245.0,8.036751848995949e-05,6.061294844111073e-05
2020-02-29,13.0,4.0,3641.5,2580.5,3.179961351238962e-05,3.232375472734913e-05
2020-03-01,20.0,1.0,2496.0,26384.5,4.459696606839837e-05,7.777682717211234e-06
2020-03-02,15.0,3.0,3509.0,3909.0,3.284007540081312e-05,2.3166738740964968e-05
2020-03-03,56.0,11.0,755.5,932.5,0.00012339177549747818,8.157393193767751e-05
2020-03-04,41.0,6.0,1249.5,1914.0,8.112354126022454e-05,4.338081122116984e-05
2020-03-05,34.0,7.0,1452.0,1506.5,7.160216154290023e-05,5.159806580964737e-05
2020-03-06,38.0,10.0,1428.5,998.5,7.764228971198797e-05,7.389781410265885e-05
2020-03-07,17.0,6.0,2570.0,1535.0,4.210046657222954e-05,5.034866450167409e-05
2020-03-08,10.0,5.0,4897.0,2111.5,2.2042745291669607e-05,3.693198605448207e-05
2020-03-09,11.0,9.0,4542.5,1031.5,2.4381486029408505e-05,7.241304400299308e-05
2020-03-10,35.0,10.0,1454.0,942.0,7.838833581563063e-05,7.839816861878105e-05
2020-03-11,81.0,25.0,602.5,420.5,0.00012038594843319917,0.00017150305275433902
2020-03-12,86.0,28.0,592.5,377.0,0.00015436807811742745,0.0001999842869488826
2020-03-13,129.0,36.0,454.5,323.5,0.0002122314408540588,0.00024463169339494426
2020-03-14,87.0,28.0,644.0,381.0,0.00015432044018575213,0.0002067168201046873
2020-03-15,99.0,35.0,421.5,319.0,0.0001917675544794189,0.0002476123098691192
2020-03-16,195.0,40.0,200.5,286.0,0.0003439966411815138,0.0002693747811329904
2020-03-17,167.0,48.0,267.5,260.0,0.0002673022163675389,0.00030055226478654533
2020-03-18,148.0,36.0,275.5,327.0,0.0002927145716478248,0.00023698398383242597
2020-03-19,,,,,,
2020-03-20,,,,,,
